gene,selected,adaptive,d_aic,disp_r,aic_BM,aic_OU1,aic_OU2
Ifit3,OU1,False,0.3394841313543111,0.1512680322049808,2016.185743991771,2015.8462598604167,2017.5210650807999
Sgce,BM,False,3.7670714009946096,1.5406928868798537,2256.1849098926714,2277.011070275643,2259.951981293666
Septin2,BM,False,1.1762299600277402,0.26319028705182446,2516.795668509986,2518.2586776801486,2517.971898470014
Rnf128,BM,False,1.8691949304848094,0.3029859536721916,2007.6190303548067,2009.4882252852915,2011.248307404373
Prc1,BM,False,1.6127345759819036,0.14507695076109628,2053.198530139557,2055.198530139557,2054.811264715539
Apod,OU1,False,1.979149261873772,0.43542488247636524,2466.171433178814,2461.4933133089235,2463.4724625707972
Crlf1,OU1,False,1.6238976283061675,1.16798087925494,2200.5881549148858,2198.663060399775,2200.2869580280812
Rnf187,OU1,False,1.3104981896726713,1.2302801601584854,2573.8672363988544,2563.497371445137,2564.80786963481
Id3,BM,False,2.618918292763283,0.33876108160325713,2322.847078620221,2326.030921521752,2325.4659969129843
Slc30a5,BM,False,4.378537219698956,0.37656635295684393,2108.8788148936624,2113.2573521133613,2114.9687418135054
Cdk1,OU2,True,0.6585409950707799,0.24493881678428545,2341.950713992895,2344.065946197347,2341.2921729978243
Trf,BM,False,0.9712159672626512,0.34063519101410455,2321.750684790563,2324.2028570604434,2322.7219007578256
Pdgfrl,OU2,True,4.034906398202338,0.15628726639060853,1747.4025551822233,1749.5333237239151,1743.367648784021
Fbln5,BM,False,1.7145108326378704,0.23003075036802742,1967.548588556679,1969.263099389317,1971.0033640909141
Cd200,BM,False,2.1571187973859196,0.17601742544832333,2047.4716924556787,2049.6288112530647,2051.4315134170865
Top2a,BM,False,1.3471757307320331,0.174790976688018,2296.1088915253767,2298.138733661731,2297.456067256109
Aurkb,BM,False,1.9999999999997726,0.09466888565573958,1575.9260317565108,1577.9260317565106,1579.2589961981225
Wls,BM,False,3.107146278345681,0.48953883111775115,2459.5748815338766,2462.6820278122223,2463.472046763214
Pbk,BM,False,2.000000000001819,0.15220217979960932,2080.4304172093807,2082.4304172093825,2083.083192777398
Hspb1,OU1,False,1.592327204177991,0.47621211206237135,1838.0978351387682,1833.0435866378034,1834.6359138419814
Ccn4,OU2,True,0.7423064703648379,0.16870665537475185,1590.0731062099812,1592.8459867448287,1589.3307997396164
Ccny,BM,False,8.778589150177595,0.4128167047402762,2028.7800128374852,2037.5586019876628,2038.6704745817735
Aurka,BM,False,1.4638905782596794,0.11836290380017742,1665.1044725674765,1667.1044725674763,1666.5683631457362
Cebpd,OU2,True,0.014144601315820182,0.4899641756843809,2170.446923384135,2164.313904658962,2164.2997600576464
Mcm5,OU2,True,0.5816974279478018,0.22513772687089756,2274.3440773203465,2276.3440773203456,2273.7623798923987
Ly6a,OU1,False,0.9792022802653264,0.33260922949787974,2285.4322855786527,2282.9817697881153,2283.9609720683807
Micu2,OU2,True,0.5188576970817849,0.400432462039021,2111.7969520312827,2113.7969520312818,2111.278094334201
Cenpe,BM,False,1.9999999999997726,0.12336921790726388,1697.3804799469924,1699.3804799469922,1701.0150745065944
Chl1,BM,False,0.5215681815548123,0.14617582946744784,1621.719203897803,1623.6107678107705,1622.2407720793578
Postn,BM,False,2.0000000000002274,0.12202061670227199,1516.851927906667,1518.8519279066672,1520.6793129867137
Ccna2,BM,False,1.3917602525189068,0.16888683612645222,2085.0874714217034,2087.195172816675,2086.4792316742223
Mgat4b,BM,False,1.5511012674587619,0.8597023758414465,2291.920861413661,2293.842217041972,2293.4719626811197
Ccnb1,BM,False,2.0000000000022737,0.13687348357004395,2080.0911087639656,2082.091108763968,2082.22511092135
Mki67,BM,False,2.0000000000004547,0.14048359190230686,1964.4059776539289,1966.4059776539293,1966.9082383811442
Kctd5,BM,False,2.1720124713810947,0.5162179329651707,2145.506554984582,2147.6785674559633,2149.5403441130306
Eif3f,OU1,False,1.3410155586007022,1.5239927370851816,2374.2314735624764,2364.272715242282,2365.613730800883
Gbp3,BM,False,2.4111319073858795,0.24466797274979482,2020.5280689513033,2022.9392008586892,2024.0116948426014
Tent2,OU1,False,1.3098549942719728,0.725468982566578,2368.6305994647446,2367.3207444704726,2368.9541062502644
Iqgap3,BM,False,2.0000000000002274,0.1367338328098563,1746.523566608355,1748.5235666083552,1749.3930616305242
Cdc45,BM,False,1.9999999999990905,0.1643733964972663,1891.766098354385,1893.766098354384,1894.3439191511843
Selenop,BM,False,2.3860729332661776,0.20330306958495215,1812.9450943441282,1815.3311672773943,1815.5060894390085
Akirin1,BM,False,4.375917068008221,0.3534341113659284,1994.2862387419423,1998.6621558099505,1998.802731584126
Tk1,BM,False,1.9999999999990905,0.2062459049806243,2093.728520959392,2095.728520959391,2096.5850990159256
Slc9a3r2,BM,False,4.166813572876208,0.15566311951649606,1431.5420502865238,1435.7088638594,1436.434759100729
Raet1d,BM,False,2.0000000000004547,0.19595464836411808,1656.9802568679452,1658.9802568679456,1660.970766325872
Kif20a,BM,False,0.9055009778790009,0.145566796859844,2126.542290126864,2128.5422901268666,2127.447791104743
Shcbp1,BM,False,1.7632567098382879,0.10849730858890518,1641.6627149128906,1643.662714912891,1643.4259716227289
Get4,OU1,False,1.2269233150350374,1.4031883252857906,2327.169235456423,2322.018083037873,2323.245006352908
Plat,BM,False,2.000000000002501,0.17417843494985266,1846.8629722394592,1848.8629722394617,1849.8578502206326
Epm2aip1,BM,False,2.0000000000002274,0.14014095521994205,1360.0030148316182,1362.0030148316184,1363.6411153912193
Sumf1,BM,False,6.49814555036437,0.47039041348934324,2172.9147002717473,2179.4128458221116,2181.245805778092
Rad51ap1,OU2,True,0.0660415459469732,0.1333258860950409,1646.5595893836621,1648.559589383663,1646.4935478377151
Tor3a,BM,False,0.9145246436801244,0.32047612260224195,2159.0366641501987,2159.951188793879,2161.933064405061
Pla2g4a,OU2,True,7.311835504353439,0.21684742385824332,1844.7083453525977,1846.312988371926,1837.3965098482442
Faf1,BM,False,2.0001686082587185,0.4369317139564307,2212.4832454927173,2214.483414100976,2215.2394033637456
Bhlhe41,BM,False,1.9983457111582084,0.1926659887159936,1749.870201516775,1751.8685472279333,1753.3716009521631
Npnt,BM,False,1.976676654605626,0.19598312363139392,1772.2142690944327,1774.1909457490383,1774.4336874405412
Klhdc2,BM,False,1.068638256811937,0.5056862031998802,2202.754120897901,2203.822759154713,2205.367667226992
Uvrag,BM,False,2.0,0.28204078690231493,1818.857887597582,1820.857887597582,1821.0614268862898
Samd9l,OU1,False,1.9926733994770984,0.4410122072775965,2419.4185828319055,2348.3603193020936,2350.3529927015707
Minpp1,BM,False,2.000000000000682,0.37017722189591085,1976.2184688917898,1978.2184688917905,1979.149400507388
Trim27,OU1,False,0.1465893161234817,0.4086180727351051,2112.590612097432,2112.4440227813084,2114.3990776445607
Tpx2,BM,False,0.4953727586016612,0.21742457286635852,2225.7734560606104,2227.773456060603,2226.268828819212
Abhd12,BM,False,1.8915666469220014,0.5108150749192237,2174.7791072613295,2176.6706739082515,2177.638217465151
Ncapg2,BM,False,0.500537830110261,0.1328377256776914,1568.6267548482556,1570.6267548482554,1569.1272926783658
Dse,OU1,False,0.7642845463294634,0.24789625523425476,1709.344594029073,1708.5803094827436,1709.378029810085
Pcdhac2,BM,False,2.000000000000682,0.23142160747118404,1927.1958402682706,1929.1958402682712,1931.1736516580343
Trim47,OU1,False,1.6185268060930866,0.5747969642896218,2218.276641309426,2215.164338462907,2216.782865269
Clptm1l,BM,False,0.45644500352045725,0.5616831362391828,2331.7345446333316,2332.190989636852,2333.6558402295727
Nuf2,BM,False,2.0000000000009095,0.13809119782431803,1821.1389087454677,1823.1389087454686,1823.1436472236728
Ckap2l,BM,False,1.9999999999988631,0.16839231148607525,1982.5921506161656,1984.5921506161644,1985.5822920075925
Timp1,BM,False,5.46704814158511,0.5618752904591033,2273.2428990768763,2278.7099472184614,2280.6655718014345
Col15a1,OU1,False,0.5969162763394706,0.4246720739080009,2178.539379854334,2177.9424635779947,2179.8285608949636
Acss2,BM,False,2.000000000001137,0.15537755386590377,1691.892224765678,1693.8922247656792,1695.6822915098278
Cdca3,BM,False,1.2521231398939108,0.2014200893724407,2045.16587694299,2047.16587694299,2046.418000082884
Spc25,BM,False,0.9243072029237283,0.16211438441448345,1925.6615246313227,1927.6615246313238,1926.5858318342464
Ube2c,BM,False,0.7108301200707956,0.1736612657363322,1979.454354331362,1981.4543543313587,1980.1651844514329
Yipf4,OU1,False,1.0558791827015739,0.8701557890106804,1953.7684937733832,1950.3020136373234,1951.357892820025
Il13ra1,BM,False,2.0000000000002274,0.1952005041899108,1774.1114219353367,1776.111421935337,1777.4514007729138
Rrm2,OU2,True,1.0347361608437495,0.40436864189227417,2815.9362844303305,2817.936284430333,2814.9015482694867
Irf9,BM,False,2.0000000000002274,0.24364731359066838,1882.6515676098916,1884.6515676098918,1885.7065736833306
Serpine1,BM,False,0.717753261976668,0.5118799857562634,2349.626996511632,2350.344749773609,2351.3478720451676
Pclaf,OU2,True,0.23884216258966262,0.24581224265469123,2142.130111328582,2144.1301113285826,2141.8912691659925
Dtx3l,BM,False,3.4822670462078804,0.3145844189408664,1833.7206062309501,1837.2036560809395,1837.202873277158
Lurap1l,BM,False,2.7066774918682768,0.27030780070890054,1868.7536699372254,1871.4603474290936,1873.3971905886824
Melk,BM,False,1.9999999999995453,0.11712137840091885,1497.3896323143697,1499.3896323143692,1499.5364712854434
Smc2,OU2,True,2.1374598170878016,0.24620730941560096,2060.8800491378124,2062.8800491378147,2058.7425893207246
Tmem192,OU2,True,0.628483919583914,0.5520466048572846,2044.3928762999215,2042.0601462815816,2041.4316623619977
Brap,BM,False,3.8276337088150285,0.5560834312560123,2075.1812276587693,2079.432225500776,2079.0088613675844
Rfc4,BM,False,2.0000000000004547,0.21935590760388657,1935.4768042736562,1937.4768042736566,1937.7196647049125
Hat1,BM,False,2.000000000001819,0.27377249830035366,2187.83181255658,2189.831812556582,2190.107244960449
Birc5,BM,False,1.9999999999990905,0.21365763101493102,2122.8507683877133,2124.8507683877124,2125.9822958661084
Lhfpl2,BM,False,2.0,0.3182784294579248,2119.37243674631,2121.37243674631,2123.362894685478
Odc1,BM,False,0.7955146894414611,0.3473619780670808,1916.139651978048,1916.9351666674895,1917.4461312789315
Cdc6,BM,False,2.0000000000020464,0.08926486390737239,1403.053946553539,1405.053946553541,1406.6446324597096
Kif20b,OU2,True,0.6109026584990715,0.11913002071807162,1394.7704419411546,1396.770441941155,1394.1595392826555
Hmmr,BM,False,2.000000000000682,0.14647738553155248,1820.978153887251,1822.9781538872517,1824.4322978376651
Ass1,OU1,False,0.1832435062087825,0.2545999896874037,1896.3786511805345,1896.1954076743257,1897.4107524331046
Gtse1,BM,False,2.0,0.17188832266582726,1859.204169359955,1861.204169359955,1862.307181635527
