gene,selected,adaptive,d_aic,disp_r,aic_BM,aic_OU1,aic_OU2
Ccnd2,OU1,False,1.8933936200396602,3.9816808104730694,3078.684534854756,3076.4718141729927,3078.3652077930324
Serpinf1,BM,False,3.13682784492471,0.1746394762288886,1609.8259519747778,1612.9627798197025,1613.953875789202
Tcf7,OU1,False,1.1037969262172282,0.1760727844805515,1015.644673819836,1014.5408768936188,1016.5156387078719
Akt1,BM,False,2.0000000000009095,0.774551627431337,2131.3442486534523,2133.344248653453,2135.1489535863852
Rac1,OU1,False,1.7852257881477271,4.781669994157389,2771.467710385078,2763.11318590756,2764.8984116957076
Ppard,BM,False,1.4539370985658024,0.2515559336930827,1464.9513056714823,1466.951305671483,1466.405242770048
Prkra,BM,False,2.0,0.11219527809591405,1244.3696191087897,1246.3696191087897,1248.3640781241738
Dvl3,OU1,False,0.27091735794533633,0.7585658485125368,1966.063698329989,1965.7927809720436,1967.6389308629286
Prkacb,BM,False,2.0000000000004547,0.42721532092734,2064.478043516048,2066.4780435160483,2068.3963455543144
Ccn4,OU2,True,0.7423064703648379,0.16870665537475185,1590.0731062099812,1592.8459867448287,1589.3307997396164
Prkaca,OU1,False,1.5035467756558774,2.4416752452861243,2035.1601389662992,2028.0484053911744,2029.5519521668302
Apc,BM,False,2.0,0.4395332825260267,2152.0647553324916,2154.0647553324916,2155.8140468009874
Ctnnb1,BM,False,2.0000000000009095,0.8997039898308254,2515.671414545872,2517.6714145458727,2519.5663886638404
Rhoa,BM,False,1.9732056399943758,7.644783442576855,2725.508153015895,2727.4813586558894,2728.054859605054
Cacybp,BM,False,0.13337226379189815,3.339415010993858,2571.616138379872,2571.749510643664,2573.1131840163894
Nlk,OU2,True,2.364886277491223,0.561867684371108,1832.0120102979904,1833.8957660000235,1829.6471240204992
Rrp7a,BM,False,2.5938582629401026,0.9754343450795125,2444.981275026888,2447.575133289828,2449.574893682717
Psen1,BM,False,2.0,0.42895510878912196,2242.4036842096684,2244.4036842096684,2245.306671530252
Fbxw11,BM,False,2.711986851846177,0.9714860690564192,2475.851355591358,2481.533011031746,2478.563342443204
Mapk9,BM,False,1.9999999999995453,0.413637713528364,2116.4528959948702,2118.45289599487,2120.2414666335035
Rock2,OU1,False,0.7634266023278542,1.5639423079253114,2527.0268200591754,2526.2633934568476,2528.180899849887
Galk1,OU2,True,0.7613718530697042,1.7274618939996205,2506.7737920956974,2509.0493262555437,2506.0124202426277
Dvl2,OU2,True,2.219193173602207,0.4304810853742993,1607.2787097024598,1609.1410222251666,1605.0595165288576
Ppm1a,BM,False,2.000000000000682,0.23130534847802295,1616.115012210356,1618.1150122103568,1619.637129647648
Ccdc88c,BM,False,1.9999999999995453,0.12284067739155846,1104.7186696800131,1106.7186696800127,1107.9794512374297
Nkd2,OU1,False,0.5488493082034438,0.9561392144577032,2733.7632856121236,2732.1156892022495,2732.664538510453
Ppp3cb,BM,False,1.9999999999990905,0.2964441327176258,1581.5387826203275,1583.5387826203266,1585.3890509158682
Camk2g,BM,False,1.9999999999995453,0.4199493784482556,2087.793661732683,2089.7936617326827,2091.7443581698744
Mapk8,BM,False,1.0258058580413945,0.22352129715813188,1454.239003252147,1455.2648091101885,1455.9670389061089
Myc,BM,False,2.0000000000004547,0.465050092091711,2119.549474347275,2121.5494743472755,2122.328541783535
Rbx1,OU1,False,1.6175873232946287,4.411063629241972,2412.6606922900987,2407.6448366734403,2409.262423996735
Cby1,BM,False,1.9999999999997726,0.1878608698459054,1494.1692628527644,1496.1692628527642,1497.8997684857598
Csnk1e,BM,False,2.0000000000004547,0.22549221161180744,1430.9260966405443,1432.9260966405448,1434.8596448056035
Crebbp,OU1,False,1.9827790588719836,2.464739268740747,2473.950426703205,2465.4227208480484,2467.4054999069203
Gsk3b,BM,False,0.9327479084381594,7.22273048555035,2693.5568334371337,2699.241219561623,2694.489581345572
Senp2,BM,False,1.9999999999995453,0.5086157728210697,2144.7856104618468,2146.7856104618463,2148.781166817189
Bsg,OU1,False,0.25293084658324005,9.086915521338492,2670.862726189941,2668.3198173835417,2668.572748230125
Enpp5,BM,False,1.1823382192233112,0.7709134972241779,2568.6544358953333,2570.3095382270617,2569.8367741145566
Bambi,BM,False,0.056761948947041674,1.6927376486261607,2665.4248055903954,2666.856587404583,2665.4815675393424
Dnajc18,BM,False,2.0000000000013642,0.661166230814934,2198.4582162357215,2200.458216235723,2201.89341647809
Csnk2b,OU2,True,1.5933204304681112,0.955113341825524,2028.2940243818211,2030.294024381821,2026.700703951353
Smad4,BM,False,2.0000000000002274,0.09028332874430381,937.982848325462,939.9828483254622,941.9333392673688
Csnk1a1,OU1,False,0.36159488403382056,3.9014469979466924,2635.996426588254,2630.2368661644373,2630.598461048471
Fosl1,BM,False,1.9999999999997726,0.29738181213401665,1897.9556631089413,1899.955663108941,1900.947606033355
Lrp5,BM,False,1.969720756630295,0.1899203036738595,1323.598134968162,1325.5678557247923,1326.0000574425947
Plcb3,BM,False,2.0000000000004547,0.3271508170833121,1871.2924538898112,1873.2924538898117,1875.1813375569832
Tcf7l2,BM,False,0.5544368994039814,0.1648209688178883,1103.3620835529348,1103.9165204523388,1105.5700244034238
Btrc,BM,False,2.000000000001137,0.18033816232637523,1698.1431844605393,1700.1431844605404,1702.0182876164674
Tbl1x,BM,False,1.9999999999990905,0.57548354286658,2329.525483282189,2331.525483282188,2333.513234582392
Vangl1,BM,False,2.000000000010232,0.19441468673903942,1642.204521321628,1644.2045213216381,1645.8673268166906
Ppp3ca,OU2,True,9.325100508654032,0.9440217215304689,2164.455892983412,2167.883670366501,2155.130792474758
Invs,BM,False,2.0000000000004547,0.13773983465457695,1177.7611523328037,1179.7611523328042,1181.758775173968
Dvl1,BM,False,2.0000000000009095,0.218091866345475,1587.829741483125,1589.8297414831259,1591.8174559323957
Cul1,OU1,False,0.28131132418911875,1.7674477690077781,2601.7335608509343,2601.452249526745,2602.2401311518383
Prickle2,BM,False,1.836506156005271,0.2167034806223406,1473.2144806551605,1475.2144806551617,1475.0509868111658
Ruvbl1,BM,False,2.0,0.8874372278481576,2398.5386394961774,2400.5386394961774,2400.715433243693
Lrp6,BM,False,1.157439125829569,0.5384181627917104,2015.0734555116344,2016.230894637464,2018.1181942817213
Ctbp2,BM,False,2.0000000000009095,0.31953813310268886,1559.8658485810183,1561.8658485810192,1562.0939383312018
Gpc4,BM,False,1.6468700969612655,0.45375863317230686,2141.6505817558495,2143.297451852811,2145.0884220467074
Nfatc3,BM,False,2.000000000000682,0.29591170178079873,1781.9835418744688,1783.9835418744694,1784.8939968678828
Tle3,BM,False,1.8111881415582047,0.7312335824304224,1986.4497301493927,1988.260918290951,1990.104036382624
Ryk,BM,False,2.0000000000015916,0.16320269405476623,1172.0088614600734,1174.008861460075,1175.8970237180606
Nfatc1,BM,False,2.0000000000027285,0.6141886973923071,2079.801910195013,2081.801910195016,2083.72007499731
Ccar2,BM,False,1.9999999999997726,0.11929592688829337,1155.3873971690793,1157.3873971690791,1159.3634235834197
Ppp3r1,BM,False,2.136155936110299,0.5152834013265283,2239.8731760797546,2242.009332015865,2242.6549332594586
Ccnd3,BM,False,1.6016093316065962,3.2453517152062386,2621.279418451798,2622.8810277834045,2624.8444635652504
Daam1,BM,False,2.0000000000002274,0.2484219756744238,1676.111056712169,1678.1110567121693,1679.570731316316
Cnot6l,BM,False,2.0,0.14330219442698355,1342.5735340911579,1344.5735340911579,1346.5702669068105
Tle6,BM,False,2.000000000002501,0.12193675004018972,1336.8123631708797,1338.8123631708822,1340.3499308593132
Lzts2,BM,False,5.803818342169052,0.7991177097759183,2084.129739609801,2089.93355795197,2091.3608341379972
Siah1a,BM,False,1.6913659645832695,0.10907585243376912,960.390893697548,962.3908936975479,962.0822596621313
Ctbp1,BM,False,2.0772957591175327,0.48875250044712093,2054.4302737671374,2056.507569526255,2058.409622237301
Plcb4,BM,False,2.000000000000682,0.08292819727455068,896.7626882981983,898.762688298199,900.3296329349521
Daam2,BM,False,1.7930685555013497,0.36000422739658644,1875.8180618727604,1878.1817418169005,1877.6111304282617
