,selected,adaptive,aic_BM,aic_OU1,aic_OU2,disp_r,alpha_OU1,dtheta_OU2
Gnai3,OU1,False,2699.229873413607,2698.5197781343472,2699.3720576353235,2.796876550426068,0.01540537649643895,0.5547013715958258
Cdc45,OU2,True,2214.406163958081,2213.157212989255,2211.5187949161364,0.7853295845743717,0.029568819352885703,0.5135314933040602
Cav2,OU1,False,2755.856299567631,2751.389993677329,2753.2744334666595,3.450620652420222,0.056753892261295374,0.09731292005856229
Klf6,BM,False,2672.111376158563,2672.9235345068546,2672.4487132235563,1.7473023556890832,0.10893246187363835,0.3080152948123649
Scmh1,OU2,True,2256.9136454056697,2258.5002388570038,2254.553907525368,1.5414996524512323,0.004181662535221101,0.7811153755956362
Cox5a,BM,False,2208.3512135942105,2210.284359940417,2212.091593387921,4.9722920288633,0.002178649237472767,0.8423703197533499
Fer,OU1,False,1989.0976919218617,1986.837670127221,1988.8354485120158,0.837434322522618,0.10893246187363835,0.0017905399483701956
Xpo6,BM,False,1801.3784015409885,1801.6512531966548,1803.6513514786054,0.6334941486775352,0.008026212415338536,0.000988362945706811
Tfe3,BM,False,2132.373179338267,2132.432792538069,2134.256893703585,1.1272772465792567,0.01540537649643895,0.10203403234681918
Brat1,OU1,False,1967.1295062919671,1965.355179227178,1967.0048572289581,0.7408266625137895,0.10893246187363835,0.07885080563209534
Gna12,BM,False,1461.2195560712582,1463.2195560712582,1465.2195560712582,0.5161982431888539,0.0,4.029349960113771
Dlat,OU1,False,2415.725891275806,2413.7249557083915,2415.4454130205972,2.2884145785760452,0.01540537649643895,0.25236588736985777
Sdhd,OU2,True,2598.5693131095113,2597.37226146949,2597.3354144984855,3.0623000883283145,0.029568819352885703,0.23714731605355777
Ccnd2,OU1,False,3077.944939374637,3075.0317731270143,3076.972276491232,4.139138282603082,0.029568819352885703,0.05733727346643924
Gpr107,OU1,False,2096.0440972257547,2094.9553716722226,2095.671421595377,0.9185507096152139,0.029568819352885703,0.2385578652085245
Gmpr,OU2,True,2523.6545472623047,2523.3777583975025,2522.504572627155,1.5976483237844263,0.029568819352885703,0.8070551662384418
Mid2,OU1,False,1894.200059285339,1885.9124565419033,1887.1477712737844,0.7416700679845032,0.10893246187363835,0.3406656992790502
Trim25,OU1,False,1989.8770266819809,1988.7866116263115,1990.6901915851072,0.7864418039529731,0.01540537649643895,0.20623437014080626
Dgke,OU2,True,1419.5530385825712,1413.6026432218575,1411.7027582988364,0.4287501876150253,0.10893246187363835,0.6667802190549152
Scpep1,OU1,False,2889.107667211115,2887.4461693729104,2887.551488305749,2.2133194022105758,0.029568819352885703,0.339554935656734
Mnt,OU2,True,1040.1549809929138,1041.0652146057241,1039.4858031147305,0.4405076206765398,0.01540537649643895,0.6469920642913798
Hddc2,OU1,False,1296.9828185202043,1294.1829006454864,1296.177890631843,0.4765233210091583,0.10893246187363835,0.01827672225555821
Comt,OU1,False,2318.922060534553,2317.037797121958,2318.332363460442,2.9541190989595822,0.029568819352885703,0.1701550561756715
Rtca,OU1,False,2143.1890197575294,2138.7855605701147,2140.3080247244125,1.1777721263208243,0.10893246187363835,0.13670737885703677
Dbt,OU1,False,1335.5708818282278,1333.3703542265355,1335.3468976588256,0.3733597982998734,0.029568819352885703,0.09832690024773871
Dazap2,OU1,False,2681.9425823346146,2680.704054886299,2682.601731735232,3.8401387245961742,0.01540537649643895,0.09307629079591173
Trappc10,BM,False,1191.8553193472942,1192.015041813216,1193.9952202052339,0.28955668103543325,0.029568819352885703,0.031019136796040847
Ccm2,BM,False,2333.570134555223,2334.8152583327333,2336.7503401116633,1.516143946840841,0.004181662535221101,0.25110532203385105
Tbrg4,OU2,True,2190.895516762659,2184.5567344551787,2181.888782574831,1.2949474590499077,0.056753892261295374,0.5619272274004992
Ndufa9,OU1,False,2479.7461232212704,2478.715699705895,2480.5969218945243,6.093358326953806,0.01540537649643895,0.09456274055059755
Galnt1,OU2,True,2197.5197011212563,2191.263102989392,2189.6606261685283,1.3681326779034673,0.10893246187363835,0.5104255326396006
Mkrn2,OU1,False,2355.481928638962,2352.1416598913065,2353.3422565060273,1.5461046110931236,0.056753892261295374,0.0955803185609696
Raf1,OU1,False,2637.0589837832667,2635.757761271576,2637.757194054783,2.121182380775829,0.008026212415338536,0.037657889230557906
Pdgfb,OU2,True,1623.0137452993488,1624.5083801694732,1617.8477718028435,0.596020102155057,0.004181662535221101,1.2539074797681709
Tom1l2,BM,False,2341.7361393371552,2343.0905222552865,2343.5338750242363,0.735760006385849,0.10893246187363835,1.1325035737127482
Itga5,OU1,False,2323.070928686646,2318.742908904825,2319.18602373269,1.036906656023563,0.10893246187363835,0.2717390500513339
Wdr77,OU1,False,2412.3417690172164,2411.7012847006094,2413.701086612801,1.2581923467579694,0.10893246187363835,0.0020734449388637444
Atp5pb,BM,False,2588.124475252059,2588.392304941549,2590.19401743457,7.943103943587773,0.008026212415338536,0.17811988789060074
Hnrnpd,OU1,False,1682.9635751630294,1678.5683450896286,1679.3013956200568,0.8665421875809034,0.10893246187363835,0.2926299607052445
Dynlt1c,OU1,False,1280.2390920634466,1276.680891640371,1278.6529048972118,1.7374615654603067,0.056753892261295374,0.04127301937436023
C1d,OU1,False,2213.1786575319256,2212.8359431875815,2213.693164065081,2.0200669550581196,0.01540537649643895,0.3116272378063014
Gm2a,OU2,True,2490.2837761049504,2487.922557399874,2484.309323615002,3.5103200533546617,0.029568819352885703,0.5848727596202057
Krit1,OU1,False,2232.946927332809,2229.0083123611394,2230.971835591723,1.2451995991877356,0.056753892261295374,0.03753907461529238
Clcn4,BM,False,2420.0315060384924,2420.8378906511725,2421.9365619148703,1.3536518434314193,0.01540537649643895,0.25246153117804404
Hk2,OU2,True,2126.3586863327514,2126.386278585418,2125.64130241926,1.0146175071256645,0.029568819352885703,0.4133207943276629
Myo18a,BM,False,2131.7835031290324,2132.380723904037,2133.14755101126,1.1325007004312644,0.01540537649643895,0.23378067552296766
Loxl3,OU2,True,3059.9883171282886,3061.1033556708785,3059.1508384806166,3.432508766561304,0.004181662535221101,1.299404639944627
Kat2b,OU1,False,1318.0705073394856,1318.0044587367356,1319.9357174593622,0.3791264527446408,0.10893246187363835,0.08548877615392803
Rab5b,OU1,False,2523.1584745970617,2521.102937400129,2523.0821821619534,3.012442232324179,0.029568819352885703,0.0305305294806697
Spg7,OU1,False,1785.0048875688403,1783.6631828884308,1784.9280382768752,0.6297420764619073,0.10893246187363835,0.22526092995854352
Rpl13,BM,False,2682.1329519282976,2682.146952432512,2683.468810892574,7.043141698295724,0.008026212415338536,0.2637436032947287
Chmp1a,OU1,False,2483.1607321974975,2482.601070843786,2484.144031234427,1.6829375977795142,0.01540537649643895,0.08656863213532251
Rpa1,OU1,False,2819.0648749855627,2817.287687702966,2819.128937297583,1.7370730760467727,0.056753892261295374,0.04928923981201727
Serpinf1,BM,False,1852.9460614111422,1854.363876551329,1855.0230849660318,0.7383934532311597,0.004181662535221101,2.758872626566504
