gene,truth,ours
BM1_0,BM1,BM1
BM1_1,BM1,BM1
BM1_2,BM1,BM1
BM1_3,BM1,BM1
BM1_4,BM1,BM1
BM1_5,BM1,BM1
BM1_6,BM1,OUX
BM1_7,BM1,BM1
BM1_8,BM1,BM1
BM1_9,BM1,OUX
BM1_10,BM1,OUX
BM1_11,BM1,BM1
BM1_12,BM1,OUX
BM1_13,BM1,BM1
BM1_14,BM1,BM1
BM1_15,BM1,OUX
BM1_16,BM1,BM1
BM1_17,BM1,OUX
BM1_18,BM1,BM1
BM1_19,BM1,OUX
BM1_20,BM1,BM1
BM1_21,BM1,BM1
BM1_22,BM1,BM1
BM1_23,BM1,BM1
BM1_24,BM1,OUX
BM1_25,BM1,OUX
BM1_26,BM1,BM1
BM1_27,BM1,BM1
BM1_28,BM1,OUX
BM1_29,BM1,BM1
OU1_0,OU1,BM1
OU1_1,OU1,BM1
OU1_2,OU1,OUX
OU1_3,OU1,BM1
OU1_4,OU1,BM1
OU1_5,OU1,BM1
OU1_6,OU1,BM1
OU1_7,OU1,BM1
OU1_8,OU1,BM1
OU1_9,OU1,BM1
OU1_10,OU1,BM1
OU1_11,OU1,BM1
OU1_12,OU1,BM1
OU1_13,OU1,BM1
OU1_14,OU1,BM1
OU1_15,OU1,BM1
OU1_16,OU1,BM1
OU1_17,OU1,BM1
OU1_18,OU1,BM1
OU1_19,OU1,BM1
OU1_20,OU1,BM1
OU1_21,OU1,BM1
OU1_22,OU1,BM1
OU1_23,OU1,BM1
OU1_24,OU1,BM1
OU1_25,OU1,BM1
OU1_26,OU1,OUX
OU1_27,OU1,BM1
OU1_28,OU1,BM1
OU1_29,OU1,BM1
OUM_0,OUX,OUX
OUM_1,OUX,OUX
OUM_2,OUX,OUX
OUM_3,OUX,OUX
OUM_4,OUX,OUX
OUM_5,OUX,OUX
OUM_6,OUX,OUX
OUM_7,OUX,OUX
OUM_8,OUX,OUX
OUM_9,OUX,OUX
OUM_10,OUX,OUX
OUM_11,OUX,BM1
OUM_12,OUX,BM1
OUM_13,OUX,OUX
OUM_14,OUX,BM1
OUM_15,OUX,OUX
OUM_16,OUX,OUX
OUM_17,OUX,OUX
OUM_18,OUX,BM1
OUM_19,OUX,OUX
OUM_20,OUX,OUX
OUM_21,OUX,OUX
OUM_22,OUX,OUX
OUM_23,OUX,BM1
OUM_24,OUX,OUX
OUM_25,OUX,OUX
OUM_26,OUX,OUX
OUM_27,OUX,BM1
OUM_28,OUX,BM1
OUM_29,OUX,BM1
