"","iter","loglik","sigma","alpha","tau","converge","gene_name","regime","model","param.count","ntips","AIC","AIC_weight"
"1",1,-104.732694359347,0.826549381928239,1e-10,0,NA,"BM1_0","BM1","BM1",3,256,215.465388718693,0.999947047743914
"2",1,-86.3241269909829,0.620013161064088,1e-10,0,NA,"BM1_1","BM1","BM1",3,256,178.648253981966,0.98920017071113
"3",1,-78.6501416352893,0.722569961553964,0.806749596272562,0,NA,"BM1_10","OUM","OUM",6,256,169.300283270579,0.890261452652855
"4",1,-68.2578331577351,0.467526008138873,1e-10,0,NA,"BM1_11","BM1","BM1",3,256,142.51566631547,0.980591348839488
"5",1,-61.6684348885389,0.565052903908404,0.863613639608499,0,NA,"BM1_12","OUM","OUM",6,256,135.336869777078,0.978865904678188
"6",1,-89.1310877875409,0.647766742693256,1e-10,0,NA,"BM1_13","BM1","BM1",3,256,184.262175575082,0.999708533560873
"7",1,-77.4656179194575,0.539869231338875,1e-10,0,NA,"BM1_14","BM1","BM1",3,256,160.931235838915,0.932958652050988
"8",1,-77.6336713612457,0.710711260190874,0.802649828473499,0,NA,"BM1_15","OUM","OUM",6,256,167.267342722491,0.999539765025707
"9",1,-80.1976462599874,0.563414009691297,1e-10,0,NA,"BM1_16","BM1","BM1",3,256,166.395292519975,0.993372210985242
"10",1,-74.4659862993092,0.71123144235237,0.935323925124689,0,NA,"BM1_17","OUM","OUM",6,256,160.931972598618,0.959421633079699
"11",1,-82.9361200577647,0.588045193753731,1e-10,0,NA,"BM1_18","BM1","BM1",3,256,171.872240115529,0.991881581551285
"12",1,-84.4102847646572,0.784867611817387,0.782263433618215,0,NA,"BM1_19","OUM","OUM",6,256,180.820569529314,0.991347196241635
"13",1,-84.538362609943,0.60295230586295,1e-10,0,NA,"BM1_2","BM1","BM1",3,256,175.076725219886,0.999071120410595
"14",1,-94.7909168401725,0.707661291983849,1e-10,0,NA,"BM1_20","BM1","BM1",3,256,195.581833680345,0.948890330912814
"15",1,-87.5213250401003,0.631720449198229,1e-10,0,NA,"BM1_21","BM1","BM1",3,256,181.042650080201,0.985279714279978
"16",1,-81.3372351162492,0.573536165807622,1e-10,0,NA,"BM1_22","BM1","BM1",3,256,168.674470232498,0.993987891715897
