rep,div,theta_cov50,theta_cov90,theta_mean,theta_sd,theta_rank,sigma_cov50,sigma_cov90,sigma_mean,sigma_sd,sigma_rank,tau_cov50,tau_cov90,tau_mean,tau_sd,tau_rank
0,0,0,1,1.6573240676071428,0.3996373484347531,0.8078571428571428,1,1,1.071996696042857,0.13831289793232185,0.325,0,1,0.3732193800492857,0.10601364495385919,0.205
1,0,0,1,1.6722945106214284,0.434603201167722,0.7742857142857142,0,0,1.195018743807143,0.10449789252805881,0.03857142857142857,0,1,0.173685231152395,0.1083851691209201,0.8492857142857143
2,0,1,1,1.8099747474714285,0.35089075990835206,0.7164285714285714,1,1,0.9886562873357143,0.14290387632476223,0.5207142857142857,1,1,0.29871074238802137,0.1240146147896531,0.46714285714285714
3,0,1,1,2.052919799692857,0.3237334914881756,0.41928571428571426,0,1,0.8261899258000001,0.12024776818060952,0.9207142857142857,0,1,0.3937217897278571,0.07576034189816097,0.10571428571428572
4,0,1,1,1.790797182192857,0.34225446651041,0.7328571428571429,0,1,0.9150744696071429,0.11519347293879494,0.7628571428571429,1,1,0.2650146920345,0.10418724586566609,0.6
5,0,1,1,2.0136669309214286,0.3703514059182467,0.5014285714285714,1,1,0.93893610235,0.12494783623961005,0.6871428571428572,1,1,0.31580224667007145,0.09827987211426711,0.3992857142857143
6,0,1,1,1.928053416107143,0.3838988168962529,0.5614285714285714,1,1,0.9970770633714284,0.15331415248717478,0.5085714285714286,0,1,0.38502490054428573,0.11112386791044443,0.20714285714285716
7,0,1,1,2.1969102409785717,0.40952372973980045,0.31357142857142856,0,1,1.1389189464142857,0.09103521625731686,0.06142857142857143,0,1,0.14313859776369928,0.09940718224450011,0.9164285714285715
8,0,1,1,1.9790361001428574,0.25091800720983415,0.5328571428571428,0,0,0.6466899289571428,0.14567975171601957,0.9835714285714285,0,0,0.47636725165714283,0.07404156091095122,0.017142857142857144
9,0,0,1,1.6606818006928572,0.33528019789776903,0.8457142857142858,0,1,0.8795619980285713,0.13103034301904837,0.8,1,1,0.2959456982026643,0.10854824928247729,0.4635714285714286
10,0,1,1,1.8911809792214285,0.30589788881210234,0.6364285714285715,0,1,0.8308689362928572,0.16459764046205957,0.8557142857142858,0,0,0.5154486325642856,0.09378951103840809,0.02
11,0,0,1,2.365100056571429,0.3753040378751983,0.16785714285714284,0,1,1.0486872102071427,0.07776743325132059,0.24857142857142858,0,0,0.11216038861582142,0.07984706699664355,0.9764285714285714
12,0,0,0,2.809943612714286,0.44680256637871635,0.03571428571428571,0,0,1.20636253845,0.08516066596899492,0.007857142857142858,0,0,0.12484399920719998,0.08744335739358439,0.9621428571428572
13,0,1,1,2.1075704194214286,0.4144660661689299,0.4035714285714286,0,1,1.1281232493214286,0.11897068161683412,0.1392857142857143,1,1,0.2373653589217143,0.12025052215336686,0.6792857142857143
14,0,1,1,1.74696658105,0.4234244912737672,0.725,0,1,1.1224656025857143,0.11076761530662828,0.12857142857142856,0,1,0.20788763255209286,0.11588885515936886,0.7792857142857142
15,0,0,0,2.7073844619285716,0.36314720150647734,0.025714285714285714,1,1,1.0413562662785716,0.073636702258042,0.2735714285714286,0,0,0.10696907548281429,0.07433445399533711,0.9835714285714285
16,0,1,1,1.8702759635142858,0.4290024303754541,0.615,0,1,1.1310351115428572,0.09995334191421196,0.09571428571428571,0,1,0.18003378159235714,0.10303463588952266,0.8692857142857143
17,0,1,1,2.0773479201214284,0.3946147468494957,0.4185714285714286,1,1,1.0241517715142858,0.0968733018880964,0.385,0,1,0.17876233036831074,0.10148029798366823,0.8692857142857143
18,0,1,1,2.1920501524142857,0.3504145449267792,0.285,0,1,0.9088395455642857,0.1251884999315313,0.7835714285714286,0,1,0.38698454646071434,0.08701834218792764,0.1457142857142857
19,0,1,1,2.042821722421429,0.3782131738308687,0.4607142857142857,1,1,0.9586876741857142,0.12832154073688595,0.6421428571428571,1,1,0.33542822509671427,0.1037790620602395,0.29928571428571427
20,0,1,1,1.9338609723785716,0.3618375565380099,0.5842857142857143,1,1,0.9750349972714285,0.14231413266970308,0.5742857142857143,1,1,0.30218187608475,0.12210779304835058,0.435
21,0,1,1,1.8942131898571428,0.34239465852040507,0.6257142857142857,1,1,0.9831858969642857,0.12108433905071672,0.535,1,1,0.2567819173271929,0.10871636976189537,0.6142857142857143
22,0,1,1,1.831393964842857,0.41681168204465147,0.6607142857142857,0,1,1.0870819917142855,0.08023160175025952,0.12714285714285714,0,0,0.11399157488067142,0.08146269130051945,0.9778571428571429
23,0,0,1,2.281561461785714,0.4243818271194711,0.24714285714285714,0,1,1.1249832058999998,0.08873747706489604,0.07571428571428572,0,1,0.13975145956069285,0.09365295216975704,0.9364285714285714
24,0,0,0,2.8018171030714285,0.39809733019261734,0.025,1,1,1.0327397833714285,0.12723370520224603,0.41785714285714287,1,1,0.2934221454800714,0.10879250480858807,0.4735714285714286
25,0,0,0,2.6697412469285715,0.36654558695081174,0.037142857142857144,1,1,0.9506018525714285,0.13435888163456502,0.6707142857142857,1,1,0.3275083008971429,0.10388993259249706,0.3357142857142857
