gene,truth,called,delta_aicc
BM1_1,BM1,OU1,0.29236819427967475
BM1_2,BM1,OU1,1.2545569472821398
BM1_3,BM1,BM1,5.024032687523686
BM1_4,BM1,BM1,2.148998596703052
BM1_5,BM1,OU1,4.121817570830899
BM1_6,BM1,BM1,2.400733181876376
BM1_7,BM1,BM1,2.2927598186085447
BM1_8,BM1,BM1,3.7846017663516136
BM1_9,BM1,OU1,1.8660823713012178
BM1_10,BM1,OU1,1.6043974988870104
BM1_11,BM1,OU1,3.7152945756344025
BM1_12,BM1,BM1,4.106505351843964
BM1_13,BM1,OU1,4.069275559361586
BM1_14,BM1,OU1,3.4303257196022514
BM1_15,BM1,BM1,4.748758171510531
BM1_16,BM1,OU1,0.8462048059402605
BM1_17,BM1,BM1,5.583084185714313
BM1_18,BM1,BM1,5.545233928315895
BM1_19,BM1,OU1,2.5533194496628084
BM1_20,BM1,BM1,3.7894596331843218
BM1_21,BM1,BM1,3.8266981568189067
BM1_22,BM1,BM1,5.187605213133168
BM1_23,BM1,BM1,2.760452097421421
BM1_24,BM1,BM1,2.203887411755602
BM1_25,BM1,OUX,2.8905864477615637
BM1_26,BM1,BM1,1.2855545827672472
BM1_27,BM1,BM1,4.923844938445882
BM1_28,BM1,OU1,1.9902766497212951
BM1_29,BM1,OU1,3.9942313066171664
BM1_30,BM1,OU1,0.8778755517918171
OU1_1,OU1,OU1,2.019194851395241
OU1_2,OU1,OU1,0.9909289339655061
OU1_3,OU1,OU1,3.5298738875537765
OU1_4,OU1,OU1,1.244599104573581
OU1_5,OU1,OUX,9.722635200802756
OU1_6,OU1,OU1,1.7243877883245204
OU1_7,OU1,OUX,1.5987480976143615
OU1_8,OU1,OU1,1.6181805622047705
OU1_9,OU1,OU1,0.9080620184338386
OU1_10,OU1,OU1,1.3702923147750425
OU1_11,OU1,OU1,3.0578856447166345
OU1_12,OU1,OU1,2.390351021263882
OU1_13,OU1,OU1,0.3754548875187993
OU1_14,OU1,OUX,11.162384113450344
OU1_15,OU1,OU1,1.8186459650173674
OU1_16,OU1,OUX,0.8917422282792131
OU1_17,OU1,OUX,10.15319301097611
OU1_18,OU1,OU1,1.8770573520725975
OU1_19,OU1,OU1,0.952176404220836
OU1_20,OU1,OUX,7.0593039952862
OU1_21,OU1,OU1,3.6367017324253084
OU1_22,OU1,OU1,2.712133117373469
OU1_23,OU1,OU1,0.608117444122172
OU1_24,OU1,OU1,1.9025191725868353
OU1_25,OU1,OU1,2.140219472711351
OU1_26,OU1,OU1,3.996409474334314
OU1_27,OU1,OUX,0.44709293334517497
OU1_28,OU1,OU1,3.5683036806037762
OU1_29,OU1,OU1,2.7153601533620986
OU1_30,OU1,OUX,4.486762540831251
OUM_1,OUX,OUX,18.098282080978834
OUM_2,OUX,OUX,9.250912409711532
OUM_3,OUX,OU1,2.8504411038786657
OUM_4,OUX,OUX,43.26291756757769
OUM_5,OUX,OUX,79.41907550114126
OUM_6,OUX,OUX,371.5372928201872
OUM_7,OUX,OUX,24.46345705135741
OUM_8,OUX,OUX,101.22987038473241
OUM_9,OUX,OUX,38.72996842974294
OUM_10,OUX,OUX,69.74960482824224
OUM_11,OUX,OUX,257.80470656601415
OUM_12,OUX,OUX,264.8149343318414
OUM_13,OUX,OUX,46.29075366358643
OUM_14,OUX,OUX,29.051205392550628
OUM_15,OUX,OUX,278.3538159137306
OUM_16,OUX,OUX,62.7934452686286
OUM_17,OUX,OUX,119.2192149435341
OUM_18,OUX,OUX,167.01320204466197
OUM_19,OUX,OUX,64.87310334463928
OUM_20,OUX,OUX,73.93168616019068
OUM_21,OUX,OUX,219.00972167292412
OUM_22,OUX,OUX,75.3523390527331
OUM_23,OUX,OUX,82.60008416947937
OUM_24,OUX,OUX,65.13436127344119
OUM_25,OUX,OUX,2.603098601883403
OUM_26,OUX,OUX,35.481940462517855
OUM_27,OUX,OUX,96.25818836918245
OUM_28,OUX,OUX,67.36149622667199
OUM_29,OUX,OUX,9.740005883053527
OUM_30,OUX,OUX,30.030551797355315
