"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"1",8,-369.570062509869,-298.728980993528,0.365583095368974,1e-10,0.2688150853348,"converged","BM1_1_BM1","BM1_1","BM1","BM1",3,"exampleEM",256,745.140125019738,745.235363114976,0,0,0.999999932916178,0.999999935945845,"BM1",1.3005728043529,1.23644834979018
"2",7,-385.267746130778,-378.362878464162,1.1035083833071,0.449845845676623,0.266679631032651,"converged","BM1_1_OU1","BM1_1","OU1","OU1",4,"exampleEM",256,778.535492261556,778.694854811357,33.3953672418183,33.4594916963811,5.60129071474447e-08,5.42454937634165e-08,"BM1",3.42050828847243,3.24252144068282
"3",6,-384.889006851119,-377.749936662192,1.10628684342557,0.453607624158189,0.266744240966138,"converged","BM1_1_OUM","BM1_1","OUM","OUM",6,"exampleEM",256,781.778013702239,782.115363099829,36.6378886825012,36.8799999848535,1.10709153263784e-08,9.80866109395138e-09,"BM1",1.35668803581802,1.35668803581802
"4",9,-307.237188922398,-236.506365428248,0.223354206058433,1e-10,0.193653227773493,"converged","BM1_10_BM1","BM1_10","BM1","BM1",3,"exampleEM",256,620.474377844795,620.569615940033,0,0,0.999067013736826,0.999149410984282,"BM1",1.46427313466086,1.22216183230853
"5",6,-311.585519688132,-298.453892094625,0.769312190895738,0.577914791820361,0.182739299564126,"converged","BM1_10_OUM","BM1_10","OUM","OUM",6,"exampleEM",256,635.171039376263,635.508388773854,14.6966615314684,14.9387728338207,0.0006430653618456,0.000569793030259442,"BM1",1.41528962966743,1.59327647745704
"6",7,-314.38215792686,-302.70944392173,0.745336794418784,0.54134577622491,0.183518105514085,"converged","BM1_10_OU1","BM1_10","OU1","OU1",4,"exampleEM",256,636.76431585372,636.923678403521,16.2899380089254,16.3540624634882,0.000289920901328233,0.000280795985458256,"BM1",9.44653540403033,9.44653540403033
"7",9,-354.836667199393,-284.054246916949,0.319938827191618,1e-10,0.249434100858421,"converged","BM1_11_BM1","BM1_11","BM1","BM1",3,"exampleEM",256,715.673334398785,715.768572494023,0,0,0.99999505901239,0.999995479715055,"BM1",6.06955406912789,6.00542961456517
"8",7,-364.485538274033,-352.569320258848,1.09387900619855,0.546562215202237,0.24239706074042,"converged","BM1_11_OUM","BM1_11","OUM","OUM",6,"exampleEM",256,740.971076548066,741.308425945656,25.2977421492808,25.5398534516331,3.21116738485539e-06,2.84504621533563e-06,"BM1",1.05924726281739,1.23723411060701
"9",7,-367.104155329337,-360.703504385651,0.950782286406753,0.441989037098231,0.242712708161484,"converged","BM1_11_OU1","BM1_11","OU1","OU1",4,"exampleEM",256,742.208310658673,742.367673208474,26.5349762598878,26.5991007144505,1.7298202251652e-06,1.67523872991534e-06,"BM1",0.122595671244198,0.186720125806914
"10",10,-277.610763339311,-206.784688792162,0.164035661568694,1e-10,0.258041862515829,"converged","BM1_12_BM1","BM1_12","BM1","BM1",3,"exampleEM",256,561.221526678622,561.31676477386,0,0,1,1,"BM1",0.475678661756206,0.41155420719349
"11",8,-319.105425628875,-330.88364180764,0.45271709286548,0.258197848330037,0.255181556841615,"converged","BM1_12_OU1","BM1_12","OU1","OU1",4,"exampleEM",256,646.210851257751,646.370213807552,84.989324579129,85.0534490336917,3.50592529082267e-19,3.39530043355047e-19,"BM1",1.63522786383976,1.45724101605015
