"","iter","loglik","sigma","alpha","tau","converge","gene_name","regime","model","param.count","ntips","AIC","AIC_weight"
"1",8,-369.570062509869,0.365583095368974,1e-10,0.2688150853348,"converged","BM1_1","BM1","BM1",3,256,745.140125019738,0.999999932916178
"2",9,-307.237188922398,0.223354206058433,1e-10,0.193653227773493,"converged","BM1_10","BM1","BM1",3,256,620.474377844795,0.999067013736826
"3",9,-354.836667199393,0.319938827191618,1e-10,0.249434100858421,"converged","BM1_11","BM1","BM1",3,256,715.673334398785,0.99999505901239
"4",10,-277.610763339311,0.164035661568694,1e-10,0.258041862515829,"converged","BM1_12","BM1","BM1",3,256,561.221526678622,1
"5",9,-321.886483339752,0.247476944520154,1e-10,0.222525245564614,"converged","BM1_13","BM1","BM1",3,256,649.772966679503,0.999999848524292
"6",9,-508.143176043353,1.07051027310289,1e-10,0.434225141296377,"converged","BM1_14","BM1","BM1",3,256,1022.28635208671,0.999962285560082
"7",9,-324.076869257719,0.247259272645527,1e-10,0.2665597114209,"converged","BM1_15","BM1","BM1",3,256,654.153738515437,0.999999999999997
"8",10,-372.150629901509,0.357910952126462,1e-10,0.298090227149805,"converged","BM1_16","BM1","BM1",3,256,750.301259803019,0.999999999817444
"9",7,-202.626367092095,0.0972416281796159,1e-10,0.167797000939432,"converged","BM1_17","BM1","BM1",3,256,411.252734184189,0.999999999999427
"10",8,-228.804660199788,0.115745909813467,1e-10,0.190267825395995,"converged","BM1_18","BM1","BM1",3,256,463.609320399575,1
"11",10,-483.444757285283,0.860830364003983,1e-10,0.439139525602436,"converged","BM1_19","BM1","BM1",3,256,972.889514570567,0.999999938985627
"12",9,-486.21998945004,0.897388380059963,1e-10,0.425874893131199,"converged","BM1_2","BM1","BM1",3,256,978.43997890008,0.999999987547665
"13",9,-368.19751539224,0.345735734750829,1e-10,0.315796909197629,"converged","BM1_20","BM1","BM1",3,256,742.39503078448,0.999999999999284
"14",11,-465.078258107364,0.70908977627543,1e-10,0.504680698241838,"converged","BM1_21","BM1","BM1",3,256,936.156516214728,1
"15",8,-221.743473061358,0.111179808097088,1e-10,0.181142040634052,"converged","BM1_22","BM1","BM1",3,256,449.486946122715,1
"16",10,-310.958056179617,0.221095794812164,1e-10,0.243817418979841,"converged","BM1_23","BM1","BM1",3,256,627.916112359234,0.999999999999927
"17",10,-303.258329877625,0.203012697480024,1e-10,0.250286190532647,"converged","BM1_24","BM1","BM1",3,256,612.51665975525,0.999999999999979
"18",9,-451.723273739619,0.680322401766545,1e-10,0.399222420396172,"converged","BM1_25","BM1","BM1",3,256,909.446547479238,0.999999999944514
"19",9,-365.700557371809,0.341822793580812,1e-10,0.29874711685172,"converged","BM1_26","BM1","BM1",3,256,737.401114743618,0.999999999874577
"20",10,-248.235986321815,0.130001069261567,1e-10,0.217874089871599,"converged","BM1_27","BM1","BM1",3,256,502.471972643631,1
"21",9,-409.306905550848,0.495986300351182,1e-10,0.297302661103466,"converged","BM1_28","BM1","BM1",3,256,824.613811101696,0.999997703083268
"22",9,-470.711164960118,0.797054460161222,1e-10,0.36780379562456,"converged","BM1_29","BM1","BM1",3,256,947.422329920235,0.999830237233363
"23",11,-325.364300962175,0.230405057211196,1e-10,0.329991781708532,"converged","BM1_3","BM1","BM1",3,256,656.72860192435,1
"24",9,-489.27285149551,0.925086242812228,1e-10,0.384797828004785,"converged","BM1_30","BM1","BM1",3,256,984.545702991021,0.980815707621309
"25",8,-171.733540112983,0.0746913694277543,1e-10,0.146086850116964,"converged","BM1_4","BM1","BM1",3,256,349.467080225966,1
"26",9,-495.364608701019,0.982043291867649,1e-10,0.380175180296887,"converged","BM1_5","BM1","BM1",3,256,996.729217402039,0.860982276568321
"27",9,-244.345340460993,0.129246389116335,1e-10,0.204193177649511,"converged","BM1_6","BM1","BM1",3,256,494.690680921986,0.999999999999997
"28",9,-499.329991107702,0.976480555212609,1e-10,0.492625102007254,"converged","BM1_7","BM1","BM1",3,256,1004.6599822154,0.999999999997461
"29",9,-163.773336911175,0.0667557655017068,1e-10,0.158619723843786,"converged","BM1_8","BM1","BM1",3,256,333.54667382235,1
"30",9,-576.576157823841,1.82709010758441,1e-10,0.594687184180667,"converged","BM1_9","BM1","BM1",3,256,1159.15231564768,0.999999585211063
"31",6,-237.466461113388,0.659364336336405,0.935162276307576,0.112753323974018,"converged","OU1_1","OU1","OU1",4,256,482.932922226776,0.666047821423083
"32",6,-256.56538109909,0.752899114377644,0.938517321649736,0.131579411122534,"converged","OU1_10","OUM","OUM",6,256,525.130762198181,0.594301707412721
"33",7,107.307775566713,0.0348164825800043,0.776081390284972,0.05,"converged","OU1_11","OU1","OU1",4,256,-206.615551133425,0.825792437163081
"34",9,292.81373913295,0.01,1.00323135645413,0.05,"converged","OU1_12","OU1","OU1",4,256,-577.627478265901,0.734081610870894
"35",20,-4.29545260242043,0.0181326517932577,1e-10,0.0859447861484985,"converged","OU1_13","BM1","BM1",3,256,14.5909052048409,0.99999999991134
"36",6,-424.55607821924,2.7213224113745,0.904988937270134,0.258780048083048,"converged","OU1_14","OUM","OUM",6,256,861.112156438479,0.701945057221846
"37",6,-138.583514778866,0.306273934250838,0.934186636954855,0.0708205408971316,"converged","OU1_15","OU1","OU1",4,256,285.167029557732,0.87546992856963
"38",6,-340.252750658465,1.26058169915337,0.790502428284081,0.186074765381637,"converged","OU1_16","OU1","OU1",4,256,688.505501316929,0.58788321913195
"39",11,164.2785203971,0.0204496461604089,0.77965273595846,0.05,"converged","OU1_17","OUM","OUM",6,256,-316.5570407942,0.973428953831741
